Año y Clase,Desaceleracion,0-40,40-80,80,Autopista
2012-8b,0.001,0.017,0.028,0.014,0.011
2013-2b,0.002,0.007,0.009,0.009,0.005
2013-3,0.001,0.009,0.01,0.008,0.006
2013-4,0.001,0.009,0.01,0.008,0.006
2013-5,0.001,0.009,0.01,0.008,0.006
2013-6,0.001,0.009,0.01,0.008,0.006
2013-7,0.001,0.009,0.011,0.009,0.006
2013-8a,0.001,0.012,0.019,0.011,0.009
2013-8b,0.001,0.015,0.024,0.012,0.01
2014-2b,0.002,0.004,0.006,0.006,0.003
2014-3,0.001,0.006,0.006,0.006,0.003
2014-4,0.001,0.006,0.006,0.006,0.003
2014-5,0.001,0.006,0.006,0.006,0.003
2014-6,0.001,0.006,0.006,0.006,0.004
2014-7,0.001,0.006,0.007,0.006,0.004
2014-8a,0.001,0.008,0.013,0.007,0.006
2014-8b,0.001,0.01,0.017,0.009,0.007
2015-2b,0.002,0.004,0.006,0.006,0.003
2015-3,0.001,0.006,0.006,0.006,0.003
2015-4,0.001,0.006,0.006,0.006,0.003
2015-5,0.001,0.006,0.006,0.006,0.003
2015-6,0.001,0.006,0.006,0.006,0.004
2015-7,0.001,0.006,0.007,0.006,0.004
2015-8a,0.001,0.008,0.013,0.007,0.006
2015-8b,0.001,0.01,0.017,0.009,0.007
2016-2b,0.002,0.004,0.006,0.006,0.003
2016-3,0.001,0.006,0.006,0.006,0.003
2016-4,0.001,0.006,0.006,0.006,0.003
2016-5,0.001,0.006,0.006,0.006,0.003
2016-6,0.001,0.006,0.006,0.006,0.004
2016-7,0.001,0.006,0.007,0.006,0.004
2016-8a,0.001,0.008,0.013,0.007,0.006
2016-8b,0.001,0.01,0.017,0.009,0.007
2017-2b,0.002,0.004,0.005,0.006,0.003
2017-3,0.001,0.006,0.006,0.006,0.003
2017-4,0.001,0.006,0.006,0.006,0.003
2017-5,0.001,0.006,0.006,0.006,0.003
2017-6,0.001,0.006,0.006,0.006,0.004
2017-7,0.001,0.006,0.007,0.006,0.004
2017-8a,0.001,0.008,0.013,0.007,0.006
2017-8b,0.001,0.01,0.017,0.009,0.007
2018-2b,0.002,0.004,0.005,0.006,0.003
2018-3,0.001,0.006,0.006,0.006,0.003
2018-4,0.001,0.006,0.006,0.006,0.003
2018-5,0.001,0.006,0.006,0.006,0.003
2018-6,0.001,0.006,0.006,0.006,0.004
2018-7,0.001,0.006,0.007,0.006,0.004
2018-8a,0.001,0.008,0.013,0.007,0.006
2018-8b,0.001,0.01,0.017,0.009,0.007
2019-2b,0.002,0.004,0.005,0.006,0.003
2019-3,0.001,0.006,0.006,0.006,0.003
2019-4,0.001,0.006,0.006,0.006,0.003
2019-5,0.001,0.006,0.006,0.006,0.003
2019-6,0.001,0.006,0.006,0.006,0.004
2019-7,0.001,0.006,0.007,0.006,0.004
2019-8a,0.001,0.008,0.013,0.007,0.006
2019-8b,0.001,0.01,0.017,0.009,0.007
